city,timestamp,temperature,feels_like,pressure,humidity,wind_speed,weather_description
Omsk,2025-06-18 01:13:42,23.94,24.06,1002,64,1,clear sky
Rostov-on-Don,2025-06-18 01:10:40,17.24,17.34,1011,89,1.91,overcast clouds
Ufa,2025-06-18 01:13:02,11.65,11.38,1003,96,1.44,overcast clouds
Volgograd,2025-06-18 01:09:08,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 01:12:58,17.22,16.38,1012,53,1.2,clear sky
Saratov,2025-06-18 01:09:47,14.42,13.56,1005,63,2.85,clear sky
Tyumen,2025-06-18 01:10:27,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 01:13:43,11.85,11.49,1004,92,4.04,scattered clouds
Izhevsk,2025-06-18 01:13:43,10.63,10.12,1006,91,1.34,clear sky
Barnaul,2025-06-18 01:13:43,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 01:11:24,20.89,20.39,1004,52,8,clear sky
Vladivostok,2025-06-18 01:10:40,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 01:10:30,15.03,14.76,1017,83,5.49,clear sky
Moscow,2025-06-18 01:12:29,16.1,15.83,1005,79,2.1,overcast clouds
Saint Petersburg,2025-06-18 01:13:13,14.08,14,1005,94,4,broken clouds
Novosibirsk,2025-06-18 01:11:18,19.61,20.08,1008,94,3,clear sky
Ekaterinburg,2025-06-18 01:12:01,12.77,12.71,1004,100,4,mist
Nizhny Novgorod,2025-06-18 01:10:21,6.73,6.73,1007,93,1,clear sky
Kazan’,2025-06-18 01:10:56,12.34,11.98,1006,90,2.91,clear sky
Chelyabinsk,2025-06-18 01:11:16,17.25,17.04,1004,77,2,clear sky
Omsk,2025-06-18 01:13:42,23.94,24.06,1002,64,1,clear sky
Rostov-on-Don,2025-06-18 01:10:40,17.24,17.34,1011,89,1.91,overcast clouds
Ufa,2025-06-18 01:13:02,11.65,11.38,1003,96,1.44,overcast clouds
Volgograd,2025-06-18 01:09:08,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 01:12:58,17.22,16.38,1012,53,1.2,clear sky
Saratov,2025-06-18 01:09:47,14.42,13.56,1005,63,2.85,clear sky
Tyumen,2025-06-18 01:10:27,14.05,14.12,1004,100,3,few clouds
Tolyatti,2025-06-18 01:13:43,11.85,11.49,1004,92,4.04,scattered clouds
Izhevsk,2025-06-18 01:13:43,10.63,10.12,1006,91,1.34,clear sky
Barnaul,2025-06-18 01:13:43,20.4,20.27,1008,68,2,clear sky
Khabarovsk,2025-06-18 01:11:24,20.89,20.39,1004,52,8,clear sky
Vladivostok,2025-06-18 01:10:40,17.54,17.52,1009,83,0.4,clear sky
Kaliningrad,2025-06-18 01:10:30,15.03,14.76,1017,83,5.49,clear sky
Moscow,2025-06-20 12:29:14,14.92,14.45,999,76,4.96,overcast clouds
Saint Petersburg,2025-06-20 12:29:53,16,14.86,1010,46,6.34,overcast clouds
Novosibirsk,2025-06-20 12:32:46,24.34,24.55,1005,66,3.36,clear sky
Ekaterinburg,2025-06-20 12:32:47,18,18.05,994,84,2.71,light rain
Nizhny Novgorod,2025-06-20 12:32:47,20.75,20.11,995,47,2.73,broken clouds
Kazan’,2025-06-20 12:32:48,20.65,20.26,994,57,2.34,light rain
Chelyabinsk,2025-06-20 12:29:57,20.93,20.59,993,58,3.43,scattered clouds
Omsk,2025-06-20 12:32:48,19.48,19.62,997,82,1.85,overcast clouds
Rostov-on-Don,2025-06-20 12:32:50,27.12,26.8,1007,37,6.64,few clouds
Ufa,2025-06-20 12:32:50,19.25,19.32,992,80,0.76,moderate rain
Volgograd,2025-06-20 12:32:51,17.33,16.27,1003,44,5.71,broken clouds
Krasnoyarsk,2025-06-20 12:32:51,28.85,29.58,1004,51,3.38,few clouds
Saratov,2025-06-20 12:28:09,19.18,17.99,999,32,5.62,scattered clouds
Tyumen,2025-06-20 12:32:15,20.52,20.25,994,62,0.83,broken clouds
Tolyatti,2025-06-20 12:32:52,17.25,17.09,995,79,7.24,light rain
Izhevsk,2025-06-20 12:30:28,19.08,18.85,992,69,1.42,overcast clouds
Barnaul,2025-06-20 12:32:53,21.46,21.75,1007,80,3,overcast clouds
Khabarovsk,2025-06-20 12:30:17,20,20.43,1003,91,3.09,overcast clouds
Vladivostok,2025-06-20 12:32:53,14.55,14.65,1000,99,7.43,moderate rain
Kaliningrad,2025-06-20 12:32:54,19.06,18.56,1021,59,7.59,clear sky
Moscow,2025-06-20 12:29:14,14.92,14.45,999,76,4.96,overcast clouds
Saint Petersburg,2025-06-20 12:29:53,16,14.86,1010,46,6.34,overcast clouds
Novosibirsk,2025-06-20 12:32:46,24.34,24.55,1005,66,3.36,clear sky
Ekaterinburg,2025-06-20 12:32:47,18,18.05,994,84,2.71,light rain
Nizhny Novgorod,2025-06-20 12:32:47,20.75,20.11,995,47,2.73,broken clouds
Kazan’,2025-06-20 12:32:48,20.65,20.26,994,57,2.34,light rain
Chelyabinsk,2025-06-20 12:29:57,20.93,20.59,993,58,3.43,scattered clouds
Omsk,2025-06-20 12:32:48,19.48,19.62,997,82,1.85,overcast clouds
Rostov-on-Don,2025-06-20 12:32:50,27.12,26.8,1007,37,6.64,few clouds
Ufa,2025-06-20 12:32:50,19.25,19.32,992,80,0.76,moderate rain
Volgograd,2025-06-20 12:32:51,17.33,16.27,1003,44,5.71,broken clouds
Krasnoyarsk,2025-06-20 12:32:51,28.85,29.58,1004,51,3.38,few clouds
Saratov,2025-06-20 12:28:09,19.18,17.99,999,32,5.62,scattered clouds
Tyumen,2025-06-20 12:32:15,20.52,20.25,994,62,0.83,broken clouds
Tolyatti,2025-06-20 12:32:52,17.25,17.09,995,79,7.24,light rain
Izhevsk,2025-06-20 12:30:28,19.08,18.85,992,69,1.42,overcast clouds
Barnaul,2025-06-20 12:32:53,21.46,21.75,1007,80,3,overcast clouds
Khabarovsk,2025-06-20 12:30:17,20,20.43,1003,91,3.09,overcast clouds
Vladivostok,2025-06-20 12:32:53,14.55,14.65,1000,99,7.43,moderate rain
Kaliningrad,2025-06-20 12:32:54,19.06,18.56,1021,59,7.59,clear sky
Moscow,2025-06-20 12:54:25,13.63,13.06,1000,77,3.87,overcast clouds
Saint Petersburg,2025-06-20 12:54:09,15.59,14.67,1010,56,7,few clouds
Novosibirsk,2025-06-20 12:52:09,25.61,25.61,1005,53,6,clear sky
Ekaterinburg,2025-06-20 12:56:20,18.77,18.58,994,72,3,light rain
Nizhny Novgorod,2025-06-20 12:52:09,21.73,21.08,995,43,6,clear sky
Kazan’,2025-06-20 12:52:35,23.34,23.22,994,57,2.34,overcast clouds
Chelyabinsk,2025-06-20 12:52:11,21.14,20.67,993,52,3,light rain
Omsk,2025-06-20 12:52:35,24.94,24.8,997,50,3,broken clouds
Rostov-on-Don,2025-06-20 12:52:20,27.12,26.8,1007,37,6.64,few clouds
Ufa,2025-06-20 12:53:15,18.65,18.66,992,80,0.76,overcast clouds
Volgograd,2025-06-20 12:55:19,22.43,21.64,1003,35,10,clear sky
Krasnoyarsk,2025-06-20 12:56:25,32.22,35.02,1004,51,3.38,few clouds
Saratov,2025-06-20 12:53:42,18.19,17.19,999,43,4.93,overcast clouds
Tyumen,2025-06-20 12:53:08,20.05,19.68,994,60,3,few clouds
Tolyatti,2025-06-20 12:55:03,17.25,17.09,995,79,7.24,overcast clouds
Izhevsk,2025-06-20 12:56:26,19.51,19.63,992,81,0.79,overcast clouds
Barnaul,2025-06-20 12:56:05,21.4,21.37,1007,68,3,scattered clouds
Khabarovsk,2025-06-20 12:55:09,20.89,21.33,1003,88,2,light intensity shower rain
Vladivostok,2025-06-20 12:56:28,14.55,14.65,1000,99,7.43,overcast clouds
Kaliningrad,2025-06-20 12:52:47,17.03,16.33,1021,59,7.59,clear sky
Moscow,2025-06-20 12:54:25,13.63,13.06,1000,77,3.87,overcast clouds
Saint Petersburg,2025-06-20 12:54:09,15.59,14.67,1010,56,7,few clouds
Novosibirsk,2025-06-20 12:52:09,25.61,25.61,1005,53,6,clear sky
Ekaterinburg,2025-06-20 12:56:20,18.77,18.58,994,72,3,light rain
Nizhny Novgorod,2025-06-20 12:52:09,21.73,21.08,995,43,6,clear sky
Kazan’,2025-06-20 12:52:35,23.34,23.22,994,57,2.34,overcast clouds
Chelyabinsk,2025-06-20 12:52:11,21.14,20.67,993,52,3,light rain
Omsk,2025-06-20 12:52:35,24.94,24.8,997,50,3,broken clouds
Rostov-on-Don,2025-06-20 12:52:20,27.12,26.8,1007,37,6.64,few clouds
Ufa,2025-06-20 12:53:15,18.65,18.66,992,80,0.76,overcast clouds
Volgograd,2025-06-20 12:55:19,22.43,21.64,1003,35,10,clear sky
Krasnoyarsk,2025-06-20 12:56:25,32.22,35.02,1004,51,3.38,few clouds
Saratov,2025-06-20 12:53:42,18.19,17.19,999,43,4.93,overcast clouds
Tyumen,2025-06-20 12:53:08,20.05,19.68,994,60,3,few clouds
Tolyatti,2025-06-20 12:55:03,17.25,17.09,995,79,7.24,overcast clouds
Izhevsk,2025-06-20 12:56:26,19.51,19.63,992,81,0.79,overcast clouds
Barnaul,2025-06-20 12:56:05,21.4,21.37,1007,68,3,scattered clouds
Khabarovsk,2025-06-20 12:55:09,20.89,21.33,1003,88,2,light intensity shower rain
Vladivostok,2025-06-20 12:56:28,14.55,14.65,1000,99,7.43,overcast clouds
Kaliningrad,2025-06-20 12:52:47,17.03,16.33,1021,59,7.59,clear sky
